goos: windows
goarch: amd64
pkg: inmemcache
cpu: Intel(R) Core(TM) i7-14700K
                                            │ results/bench.txt │
                                            │      sec/op       │
Cache/impl=mutex/dist=uniform/mix=r90-2          0.000 ±   0%
Cache/impl=mutex/dist=uniform/mix=r90-4          0.000 ±   0%
Cache/impl=mutex/dist=uniform/mix=r90-8          0.000 ±   0%
Cache/impl=mutex/dist=uniform/mix=r50            0.000 ±   0%
Cache/impl=mutex/dist=uniform/mix=r50-2          0.000 ±   0%
Cache/impl=mutex/dist=uniform/mix=r50-4          0.000 ±   0%
Cache/impl=mutex/dist=uniform/mix=r50-8          0.000 ±   0%
Cache/impl=mutex/dist=uniform/mix=r10            0.000 ±   0%
Cache/impl=mutex/dist=uniform/mix=r10-2          0.000 ±   0%
Cache/impl=mutex/dist=uniform/mix=r10-4          0.000 ±   0%
Cache/impl=mutex/dist=uniform/mix=r10-8          0.000 ±   0%
Cache/impl=mutex/dist=zipf/mix=r100              0.000 ±   0%
Cache/impl=mutex/dist=zipf/mix=r100-2            0.000 ±   0%
Cache/impl=mutex/dist=zipf/mix=r100-4            0.000 ±   0%
Cache/impl=mutex/dist=zipf/mix=r100-8            0.000 ±   0%
Cache/impl=mutex/dist=zipf/mix=r90               0.000 ±   0%
Cache/impl=mutex/dist=zipf/mix=r90-2             0.000 ±   0%
Cache/impl=mutex/dist=zipf/mix=r90-4             0.000 ±   0%
Cache/impl=mutex/dist=zipf/mix=r90-8             0.000 ±   0%
Cache/impl=mutex/dist=zipf/mix=r50               0.000 ±   0%
Cache/impl=mutex/dist=zipf/mix=r50-2             0.000 ±   0%
Cache/impl=mutex/dist=zipf/mix=r50-4             0.000 ±   0%
Cache/impl=mutex/dist=zipf/mix=r50-8             0.000 ±   0%
Cache/impl=mutex/dist=zipf/mix=r10               0.000 ±   0%
Cache/impl=mutex/dist=zipf/mix=r10-2             0.000 ±   0%
Cache/impl=mutex/dist=zipf/mix=r10-4             0.000 ±   0%
Cache/impl=mutex/dist=zipf/mix=r10-8             0.000 ±   0%
Cache/impl=rwmutex/dist=uniform/mix=r100         0.000 ±   0%
Cache/impl=rwmutex/dist=uniform/mix=r100-2       0.000 ±   0%
Cache/impl=rwmutex/dist=uniform/mix=r100-4       0.000 ±   0%
Cache/impl=rwmutex/dist=uniform/mix=r100-8       0.000 ±   0%
Cache/impl=rwmutex/dist=uniform/mix=r90          0.000 ±   0%
Cache/impl=rwmutex/dist=uniform/mix=r90-2        0.000 ±   0%
Cache/impl=rwmutex/dist=uniform/mix=r90-4        0.000 ±   0%
Cache/impl=rwmutex/dist=uniform/mix=r90-8        0.000 ±   0%
Cache/impl=rwmutex/dist=uniform/mix=r50          0.000 ±   0%
Cache/impl=rwmutex/dist=uniform/mix=r50-2        0.000 ±   0%
Cache/impl=rwmutex/dist=uniform/mix=r50-4        0.000 ±   0%
Cache/impl=rwmutex/dist=uniform/mix=r50-8        0.000 ±   0%
Cache/impl=rwmutex/dist=uniform/mix=r10          0.000 ±   0%
Cache/impl=rwmutex/dist=uniform/mix=r10-2        0.000 ±   0%
Cache/impl=rwmutex/dist=uniform/mix=r10-4        0.000 ±   0%
Cache/impl=rwmutex/dist=uniform/mix=r10-8        0.000 ±   0%
Cache/impl=rwmutex/dist=zipf/mix=r100            0.000 ±   0%
Cache/impl=rwmutex/dist=zipf/mix=r100-2          0.000 ±   0%
Cache/impl=rwmutex/dist=zipf/mix=r100-4          0.000 ±   0%
Cache/impl=rwmutex/dist=zipf/mix=r100-8          0.000 ±   0%
Cache/impl=rwmutex/dist=zipf/mix=r90             0.000 ±   0%
Cache/impl=rwmutex/dist=zipf/mix=r90-2           0.000 ±   0%
Cache/impl=rwmutex/dist=zipf/mix=r90-4           0.000 ±   0%
Cache/impl=rwmutex/dist=zipf/mix=r90-8           0.000 ±   0%
Cache/impl=rwmutex/dist=zipf/mix=r50             0.000 ±   0%
Cache/impl=rwmutex/dist=zipf/mix=r50-2           0.000 ±   0%
Cache/impl=rwmutex/dist=zipf/mix=r50-4           0.000 ±   0%
Cache/impl=rwmutex/dist=zipf/mix=r50-8           0.000 ±   0%
Cache/impl=rwmutex/dist=zipf/mix=r10             0.000 ±   0%
Cache/impl=rwmutex/dist=zipf/mix=r10-2           0.000 ±   0%
Cache/impl=rwmutex/dist=zipf/mix=r10-4           0.000 ±   0%
Cache/impl=rwmutex/dist=zipf/mix=r10-8           0.000 ±   0%
Cache/impl=syncmap/dist=uniform/mix=r100         0.000 ±   0%
Cache/impl=syncmap/dist=uniform/mix=r100-2       0.000 ±   0%
Cache/impl=syncmap/dist=uniform/mix=r100-4       0.000 ±   0%
Cache/impl=syncmap/dist=uniform/mix=r100-8       0.000 ±   0%
Cache/impl=syncmap/dist=uniform/mix=r90          8.000 ±  12%
Cache/impl=syncmap/dist=uniform/mix=r90-2        7.500 ±   7%
Cache/impl=syncmap/dist=uniform/mix=r90-4        8.000 ±  12%
Cache/impl=syncmap/dist=uniform/mix=r90-8        8.000 ±  12%
Cache/impl=syncmap/dist=uniform/mix=r50          39.50 ±   1%
Cache/impl=syncmap/dist=uniform/mix=r50-2        39.00 ±   3%
Cache/impl=syncmap/dist=uniform/mix=r50-4        39.50 ±   1%
Cache/impl=syncmap/dist=uniform/mix=r50-8        39.50 ±   1%
Cache/impl=syncmap/dist=uniform/mix=r10          72.00 ±   1%
Cache/impl=syncmap/dist=uniform/mix=r10-2        72.00 ±   1%
Cache/impl=syncmap/dist=uniform/mix=r10-4        71.00 ±   1%
Cache/impl=syncmap/dist=uniform/mix=r10-8        72.00 ±   1%
Cache/impl=syncmap/dist=zipf/mix=r100            0.000 ±   0%
Cache/impl=syncmap/dist=zipf/mix=r100-2          0.000 ±   0%
Cache/impl=syncmap/dist=zipf/mix=r100-4          0.000 ±   0%
Cache/impl=syncmap/dist=zipf/mix=r100-8          0.000 ±   0%
Cache/impl=syncmap/dist=zipf/mix=r90             8.000 ±  12%
Cache/impl=syncmap/dist=zipf/mix=r90-2           7.000 ±  14%
Cache/impl=syncmap/dist=zipf/mix=r90-4           8.000 ±  12%
Cache/impl=syncmap/dist=zipf/mix=r90-8           8.000 ±  12%
Cache/impl=syncmap/dist=zipf/mix=r50             40.00 ±   0%
Cache/impl=syncmap/dist=zipf/mix=r50-2           39.50 ±   1%
Cache/impl=syncmap/dist=zipf/mix=r50-4           39.50 ±   1%
Cache/impl=syncmap/dist=zipf/mix=r50-8           40.00 ±   3%
Cache/impl=syncmap/dist=zipf/mix=r10             71.00 ±   1%
Cache/impl=syncmap/dist=zipf/mix=r10-2           72.00 ±   1%
Cache/impl=syncmap/dist=zipf/mix=r10-4           71.50 ±   1%
Cache/impl=syncmap/dist=zipf/mix=r10-8           72.00 ±   1%
Cache/impl=syncXmap/dist=uniform/mix=r100        0.000 ±   0%
Cache/impl=syncXmap/dist=uniform/mix=r100-2      0.000 ±   0%
Cache/impl=syncXmap/dist=uniform/mix=r100-4      0.000 ±   0%
Cache/impl=syncXmap/dist=uniform/mix=r100-8      0.000 ±   0%
Cache/impl=syncXmap/dist=uniform/mix=r90         3.000 ±   0%
Cache/impl=syncXmap/dist=uniform/mix=r90-2       3.000 ±   0%
Cache/impl=syncXmap/dist=uniform/mix=r90-4       3.000 ±   0%
Cache/impl=syncXmap/dist=uniform/mix=r90-8       3.000 ±   0%
Cache/impl=syncXmap/dist=uniform/mix=r50         15.50 ±   3%
Cache/impl=syncXmap/dist=uniform/mix=r50-2       15.00 ±   7%
Cache/impl=syncXmap/dist=uniform/mix=r50-4       16.00 ±   6%
Cache/impl=syncXmap/dist=uniform/mix=r50-8       16.00 ±   0%
Cache/impl=syncXmap/dist=uniform/mix=r10         28.00 ±   0%
Cache/impl=syncXmap/dist=uniform/mix=r10-2       28.00 ±   0%
Cache/impl=syncXmap/dist=uniform/mix=r10-4       28.00 ±   0%
Cache/impl=syncXmap/dist=uniform/mix=r10-8       28.00 ±   0%
Cache/impl=syncXmap/dist=zipf/mix=r100           0.000 ±   0%
Cache/impl=syncXmap/dist=zipf/mix=r100-2         0.000 ±   0%
Cache/impl=syncXmap/dist=zipf/mix=r100-4         0.000 ±   0%
Cache/impl=syncXmap/dist=zipf/mix=r100-8         0.000 ±   0%
Cache/impl=syncXmap/dist=zipf/mix=r90            3.000 ±   0%
Cache/impl=syncXmap/dist=zipf/mix=r90-2          3.000 ±   0%
Cache/impl=syncXmap/dist=zipf/mix=r90-4          3.000 ±   0%
Cache/impl=syncXmap/dist=zipf/mix=r90-8          3.000 ±   0%
Cache/impl=syncXmap/dist=zipf/mix=r50            16.00 ±   6%
Cache/impl=syncXmap/dist=zipf/mix=r50-2          15.50 ±   3%
Cache/impl=syncXmap/dist=zipf/mix=r50-4          16.00 ±   6%
Cache/impl=syncXmap/dist=zipf/mix=r50-8          15.00 ±   7%
Cache/impl=syncXmap/dist=zipf/mix=r10            28.00 ±   0%
Cache/impl=syncXmap/dist=zipf/mix=r10-2          28.00 ±   0%
Cache/impl=syncXmap/dist=zipf/mix=r10-4          28.00 ±   0%
Cache/impl=syncXmap/dist=zipf/mix=r10-8          28.00 ±   0%
Cache/impl=otter/dist=uniform/mix=r100           0.000 ±   0%
Cache/impl=otter/dist=uniform/mix=r100-2         0.000 ±   0%
Cache/impl=otter/dist=uniform/mix=r100-4         0.000 ±   0%
Cache/impl=otter/dist=uniform/mix=r100-8         0.000 ±   0%
Cache/impl=otter/dist=uniform/mix=r90            6.000 ±   0%
Cache/impl=otter/dist=uniform/mix=r90-2          6.000 ±   0%
Cache/impl=otter/dist=uniform/mix=r90-4          6.000 ±   0%
Cache/impl=otter/dist=uniform/mix=r90-8          6.000 ±   0%
Cache/impl=otter/dist=uniform/mix=r50            32.00 ±   0%
Cache/impl=otter/dist=uniform/mix=r50-2          32.00 ±   0%
Cache/impl=otter/dist=uniform/mix=r50-4          32.00 ±   0%
