[affinity] requested=0x5555 set_ok=true effective=0x5555
goos: windows
goarch: amd64
pkg: inmemcache
cpu: Intel(R) Core(TM) i7-14700K
BenchmarkCache/impl=mutex/dist=uniform/mix=r10            	 8045089	       147.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-2          	 5395864	       226.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-2          	 5519176	       213.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-2          	 5601027	       214.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-2          	 5429750	       218.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-2          	 5545654	       216.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-2          	 5694063	       217.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-2          	 5721792	       215.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-2          	 5553282	       214.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-2          	 5715559	       215.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-2          	 5539316	       211.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-4          	 5485736	       220.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-4          	 5506706	       220.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-4          	 5448664	       220.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-4          	 5535404	       220.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-4          	 5579041	       228.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-4          	 5298974	       227.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-4          	 5316621	       223.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-4          	 5431264	       220.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-4          	 5563640	       220.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-4          	 5514318	       220.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-8          	 5347969	       226.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-8          	 5251521	       226.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-8          	 5344537	       226.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-8          	 5304776	       227.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-8          	 5295223	       227.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-8          	 5237064	       229.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-8          	 5297287	       228.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-8          	 5370864	       227.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-8          	 5314110	       225.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=uniform/mix=r10-8          	 5312522	       226.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r100              	14456524	        80.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r100              	14636520	        81.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r100              	15237436	        78.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r100              	15123520	        78.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r100              	15546840	        78.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r100              	14762689	        77.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r100              	15424480	        78.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r100              	15663240	        78.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r100              	15093693	        77.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r100              	15233587	        78.00 ns/op	       0 B/op	       0 allocs/op
