goos: linux
goarch: amd64
pkg: inmemcache
cpu: AMD Ryzen 9 9950X3D 16-Core Processor          
BenchmarkCache/impl=mutex/dist=zipf/mix=r50                	11218321	        91.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r50                	12895042	        84.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r50-2              	12322604	        91.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r50-2              	11982912	        96.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r50-2              	10642930	        97.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r50-2              	12503968	       100.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r50-2              	12454696	       117.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r50-4              	10276245	       123.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r50-4              	 9922113	       113.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r50-4              	10400336	       105.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r50-4              	12492555	       106.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r50-4              	11430084	       101.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r50-8              	 8978653	       113.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r50-8              	10672189	       111.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r50-8              	10648075	       118.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r50-8              	10331773	       117.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r50-8              	10301212	       117.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r50-16             	 8361514	       130.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r50-16             	 9257284	       130.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r50-16             	 9248128	       125.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r50-16             	 8840912	       129.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r50-16             	 8559446	       125.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r10                	13316978	        83.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r10                	13753131	        84.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r10                	13273428	        81.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r10                	14001592	        86.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r10                	13591275	        82.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r10-2              	11344696	        99.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r10-2              	11394496	        97.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r10-2              	11703354	       106.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r10-2              	10973162	       107.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r10-2              	10988875	       108.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r10-4              	10627906	       106.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r10-4              	 9381064	       112.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r10-4              	11209795	       107.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r10-4              	11300076	       105.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r10-4              	11442828	       103.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r10-8              	 9408594	       122.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r10-8              	 9767053	       116.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r10-8              	 8328439	       129.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r10-8              	10297551	       123.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r10-8              	 9588987	       125.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r10-16             	 8926346	       130.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r10-16             	 9179767	       133.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r10-16             	 9010432	       128.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r10-16             	 9037039	       124.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r10-16             	 9657062	       123.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=rwmutex/dist=uniform/mix=r100          	 6829249	       169.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=rwmutex/dist=uniform/mix=r100          	 6745539	       176.1 ns/op	       0 B/op	       0 allocs/op
